Time_window,Brain_region,Model_type,Correlation,
4,Lateral,VIB_SUP,0.04772,e90
4,Lateral,VIB_SUP,0.00492,e69
4,Lateral,VIB_SUP,0.00274,e70
4,Lateral,VIB_SUP,0.0617,e53
4,Lateral,VIB_SUP,0.03,e60
4,Lateral,VIB_SUP,0.01536,e61
4,Lateral,VIB_SUP,0.04406,e62
4,Lateral,VIB_SUP,0,e8
4,Lateral,VIB_UNSUP,0.03303,e90
4,Lateral,VIB_UNSUP,0.00303,e69
4,Lateral,VIB_UNSUP,0.00194,e70
4,Lateral,VIB_UNSUP,0.05534,e53
4,Lateral,VIB_UNSUP,0.02213,e60
4,Lateral,VIB_UNSUP,0.01229,e61
4,Lateral,VIB_UNSUP,0.04404,e62
4,Lateral,VIB_UNSUP,0,e8
4,Lateral,VIB_RL,0.0387,e90
4,Lateral,VIB_RL,0.00241,e69
4,Lateral,VIB_RL,0.00145,e70
4,Lateral,VIB_RL,0.05754,e53
4,Lateral,VIB_RL,0.02814,e60
4,Lateral,VIB_RL,0.01209,e61
4,Lateral,VIB_RL,0.04432,e62
4,Lateral,VIB_RL,0,e8
4,Lateral,ResNet_SUP,0.02989,e90
4,Lateral,ResNet_SUP,0.00386,e69
4,Lateral,ResNet_SUP,0,e70
4,Lateral,ResNet_SUP,0.05226,e53
4,Lateral,ResNet_SUP,0.01698,e60
4,Lateral,ResNet_SUP,0.01399,e61
4,Lateral,ResNet_SUP,0.04474,e62
4,Lateral,ResNet_SUP,0,e8
4,Lateral,ResNet_UNSUP,0.03131,e90
4,Lateral,ResNet_UNSUP,0.0025,e69
4,Lateral,ResNet_UNSUP,0.0021,e70
4,Lateral,ResNet_UNSUP,0.04936,e53
4,Lateral,ResNet_UNSUP,0.02082,e60
4,Lateral,ResNet_UNSUP,0.01069,e61
4,Lateral,ResNet_UNSUP,0.04045,e62
4,Lateral,ResNet_UNSUP,0,e8
4,Lateral,ResNet_RL,0.01209,e90
4,Lateral,ResNet_RL,0.00063,e69
4,Lateral,ResNet_RL,0,e70
4,Lateral,ResNet_RL,0.03469,e53
4,Lateral,ResNet_RL,0.00836,e60
4,Lateral,ResNet_RL,0.00585,e61
4,Lateral,ResNet_RL,0.04149,e62
4,Lateral,ResNet_RL,0.00014,e8
4,Ventral,VIB_SUP,0.04131,e85
4,Ventral,VIB_SUP,0.12221,e64
4,Ventral,VIB_SUP,0.15774,e2
4,Ventral,VIB_SUP,0.20987,e9
4,Ventral,VIB_SUP,0.27575,e10
4,Ventral,VIB_SUP,0.17604,e11
4,Ventral,VIB_SUP,0.08977,e12
4,Ventral,VIB_SUP,0.10769,e24
4,Ventral,VIB_SUP,0.16781,e34
4,Ventral,VIB_SUP,0.05333,e100
4,Ventral,VIB_SUP,0.0271,e44
4,Ventral,VIB_SUP,0,e39
4,Ventral,VIB_UNSUP,0.04674,e85
4,Ventral,VIB_UNSUP,0.10808,e64
4,Ventral,VIB_UNSUP,0.10287,e2
4,Ventral,VIB_UNSUP,0.13474,e9
4,Ventral,VIB_UNSUP,0.15424,e10
4,Ventral,VIB_UNSUP,0.0964,e11
4,Ventral,VIB_UNSUP,0.05073,e12
4,Ventral,VIB_UNSUP,0.07246,e24
4,Ventral,VIB_UNSUP,0.12257,e34
4,Ventral,VIB_UNSUP,0.04776,e100
4,Ventral,VIB_UNSUP,0.02323,e44
4,Ventral,VIB_UNSUP,0.00054,e39
4,Ventral,VIB_RL,0.03947,e85
4,Ventral,VIB_RL,0.09888,e64
4,Ventral,VIB_RL,0.11894,e2
4,Ventral,VIB_RL,0.15847,e9
4,Ventral,VIB_RL,0.1819,e10
4,Ventral,VIB_RL,0.12122,e11
4,Ventral,VIB_RL,0.0615,e12
4,Ventral,VIB_RL,0.07803,e24
4,Ventral,VIB_RL,0.13626,e34
4,Ventral,VIB_RL,0.05108,e100
4,Ventral,VIB_RL,0.02302,e44
4,Ventral,VIB_RL,0.0009,e39
4,Ventral,ResNet_SUP,0.04391,e85
4,Ventral,ResNet_SUP,0.08886,e64
4,Ventral,ResNet_SUP,0.17389,e2
4,Ventral,ResNet_SUP,0.23081,e9
4,Ventral,ResNet_SUP,0.30796,e10
4,Ventral,ResNet_SUP,0.22687,e11
4,Ventral,ResNet_SUP,0.11613,e12
4,Ventral,ResNet_SUP,0.11872,e24
4,Ventral,ResNet_SUP,0.19803,e34
4,Ventral,ResNet_SUP,0.04922,e100
4,Ventral,ResNet_SUP,0.02644,e44
4,Ventral,ResNet_SUP,0,e39
4,Ventral,ResNet_UNSUP,0.03766,e85
4,Ventral,ResNet_UNSUP,0.09297,e64
4,Ventral,ResNet_UNSUP,0.08823,e2
4,Ventral,ResNet_UNSUP,0.11414,e9
4,Ventral,ResNet_UNSUP,0.1338,e10
4,Ventral,ResNet_UNSUP,0.07808,e11
4,Ventral,ResNet_UNSUP,0.03825,e12
4,Ventral,ResNet_UNSUP,0.06374,e24
4,Ventral,ResNet_UNSUP,0.10367,e34
4,Ventral,ResNet_UNSUP,0.04209,e100
4,Ventral,ResNet_UNSUP,0.01984,e44
4,Ventral,ResNet_UNSUP,0.00061,e39
4,Ventral,ResNet_RL,0.03958,e85
4,Ventral,ResNet_RL,0.04722,e64
4,Ventral,ResNet_RL,0.06641,e2
4,Ventral,ResNet_RL,0.07582,e9
4,Ventral,ResNet_RL,0.08867,e10
4,Ventral,ResNet_RL,0.0567,e11
4,Ventral,ResNet_RL,0.02712,e12
4,Ventral,ResNet_RL,0.04,e24
4,Ventral,ResNet_RL,0.0736,e34
4,Ventral,ResNet_RL,0.03236,e100
4,Ventral,ResNet_RL,0.01389,e44
4,Ventral,ResNet_RL,0,e39
5,Lateral,VIB_SUP,0.02721,e90
5,Lateral,VIB_SUP,0.00672,e69
5,Lateral,VIB_SUP,0.00672,e70
5,Lateral,VIB_SUP,0.08556,e53
5,Lateral,VIB_SUP,0.03997,e60
5,Lateral,VIB_SUP,0.05705,e61
5,Lateral,VIB_SUP,0.0431,e62
5,Lateral,VIB_SUP,0.00053,e8
5,Lateral,VIB_UNSUP,0.02456,e90
5,Lateral,VIB_UNSUP,0.00443,e69
5,Lateral,VIB_UNSUP,0.00443,e70
5,Lateral,VIB_UNSUP,0.07529,e53
5,Lateral,VIB_UNSUP,0.03346,e60
5,Lateral,VIB_UNSUP,0.04293,e61
5,Lateral,VIB_UNSUP,0.04711,e62
5,Lateral,VIB_UNSUP,0.00006,e8
5,Lateral,VIB_RL,0.02228,e90
5,Lateral,VIB_RL,0.00577,e69
5,Lateral,VIB_RL,0.00577,e70
5,Lateral,VIB_RL,0.08037,e53
5,Lateral,VIB_RL,0.0335,e60
5,Lateral,VIB_RL,0.0534,e61
5,Lateral,VIB_RL,0.04972,e62
5,Lateral,VIB_RL,0.00203,e8
5,Lateral,ResNet_SUP,0.02105,e90
5,Lateral,ResNet_SUP,0.00535,e69
5,Lateral,ResNet_SUP,0.00535,e70
5,Lateral,ResNet_SUP,0.07871,e53
5,Lateral,ResNet_SUP,0.03395,e60
5,Lateral,ResNet_SUP,0.04477,e61
5,Lateral,ResNet_SUP,0.04302,e62
5,Lateral,ResNet_SUP,0.0021,e8
5,Lateral,ResNet_UNSUP,0.02357,e90
5,Lateral,ResNet_UNSUP,0.00352,e69
5,Lateral,ResNet_UNSUP,0.00352,e70
5,Lateral,ResNet_UNSUP,0.06445,e53
5,Lateral,ResNet_UNSUP,0.02916,e60
5,Lateral,ResNet_UNSUP,0.03836,e61
5,Lateral,ResNet_UNSUP,0.04325,e62
5,Lateral,ResNet_UNSUP,0,e8
5,Lateral,ResNet_RL,0.01652,e90
5,Lateral,ResNet_RL,0.00194,e69
5,Lateral,ResNet_RL,0.00194,e70
5,Lateral,ResNet_RL,0.0526,e53
5,Lateral,ResNet_RL,0.02151,e60
5,Lateral,ResNet_RL,0.03344,e61
5,Lateral,ResNet_RL,0.04462,e62
5,Lateral,ResNet_RL,0.00024,e8
5,Ventral,VIB_SUP,0.00655,e85
5,Ventral,VIB_SUP,0.07929,e64
5,Ventral,VIB_SUP,0.08305,e2
5,Ventral,VIB_SUP,0.11719,e9
5,Ventral,VIB_SUP,0.21374,e10
5,Ventral,VIB_SUP,0.1147,e11
5,Ventral,VIB_SUP,0.04539,e12
5,Ventral,VIB_SUP,0.03302,e24
5,Ventral,VIB_SUP,0.08401,e34
5,Ventral,VIB_SUP,0.03303,e100
5,Ventral,VIB_SUP,0.01704,e44
5,Ventral,VIB_SUP,0,e39
5,Ventral,VIB_UNSUP,0.0094,e85
5,Ventral,VIB_UNSUP,0.08038,e64
5,Ventral,VIB_UNSUP,0.05405,e2
5,Ventral,VIB_UNSUP,0.08611,e9
5,Ventral,VIB_UNSUP,0.13861,e10
5,Ventral,VIB_UNSUP,0.07394,e11
5,Ventral,VIB_UNSUP,0.02611,e12
5,Ventral,VIB_UNSUP,0.03485,e24
5,Ventral,VIB_UNSUP,0.07135,e34
5,Ventral,VIB_UNSUP,0.02777,e100
5,Ventral,VIB_UNSUP,0.01989,e44
5,Ventral,VIB_UNSUP,0,e39
5,Ventral,VIB_RL,0.00915,e85
5,Ventral,VIB_RL,0.06915,e64
5,Ventral,VIB_RL,0.06092,e2
5,Ventral,VIB_RL,0.07579,e9
